sn,tc_loop,step_num,defect_reason,pe_cycle,pon_day,plane,mp_block,die,channel,cap,firmware
09240XE0007210,0,16,PSF,1074,10,2,279,1,6,894,RG109W04
09240XE0008210,6,14,RAID,1339,13,0,11,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1339,13,1,11,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1339,13,2,11,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1337,13,3,12,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1327,13,0,13,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1327,13,1,13,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1327,13,2,13,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1327,13,3,13,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1338,13,0,15,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1338,13,1,15,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1338,13,2,15,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1338,13,3,15,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1340,13,0,17,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1340,13,1,17,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1340,13,2,17,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1340,13,3,17,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1337,13,1,18,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1337,13,3,18,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1346,13,0,21,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1346,13,1,21,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1346,13,2,21,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1346,13,3,21,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1347,13,0,26,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1347,13,1,26,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1347,13,2,26,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1347,13,3,26,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1346,13,1,28,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1346,13,2,28,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1339,13,0,30,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1339,13,1,30,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1339,13,2,30,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1339,13,3,30,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1346,13,1,37,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1346,13,2,37,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1346,13,3,37,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1334,13,0,40,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1334,13,1,40,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1334,13,2,40,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1334,13,3,40,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1346,13,0,41,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1346,13,1,41,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1346,13,2,41,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1346,13,3,41,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1345,13,1,42,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1342,13,0,43,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1342,13,1,43,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1342,13,2,43,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1342,13,3,43,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1341,13,0,44,0,1,894,RG109W04
09240XE0008210,6,14,RAID,1341,13,1,44,0,1,894,RG109W04
